experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
gcn_dense128,GCNConv,No description,0.7906742396482228,0.7852555653224258,0.7959875412238915,0.7925657826002087,0.0,0.7762742489797079,SUCCESS,b8e2fac685a745d6a1ff4e84a4279ed6
gcn_1L,GCNConv,No description,0.7865518504946867,0.7811692923309294,0.7865518504946867,0.7811692923309294,0.0,0.7831349470827563,SUCCESS,0c92f3eca5a34717ae1a8b8de46b31cd
gcn_mp1,GCNConv,No description,0.7854983510443386,0.7801827261156231,0.7875137412971784,0.7827864754721321,0.0,0.7802507537014858,SUCCESS,79a781b1aef6410793be5cde657766cd
gcn_mp3,GCNConv,No description,0.7844448515939905,0.7790481469801533,0.7871473067057531,0.7835925723431734,0.0,0.7826486856830109,SUCCESS,2f5831d744df4e148eefa527764fa34e
gcn_3L,GCNConv,No description,0.7831623305240014,0.7770460851423906,0.7866892634664713,0.7834528607804556,0.0,0.7798565963552189,SUCCESS,fe79b050a9b7410e99f17c8ea69c96a6
gcn_dr075,GCNConv,No description,0.7780322462440454,0.7732763372582746,0.7808263100036643,0.774553506942678,0.0,0.773694071777985,SUCCESS,bf9bdc4163134d429633fbdbd72d489e
gcn_ln,GCNConv,No description,0.7777574203004763,0.7730935279993679,0.7777574203004763,0.7730935279993679,0.0,0.7798890404807748,SUCCESS,101467531ae943059849313534a04cca
gcn_hid500,GCNConv,No description,0.7770703554415537,0.7718027367583236,0.7783070721876145,0.7723070910272407,0.0,0.7540533198727073,SUCCESS,a3e618964467403a89deec38a3735f54
gcn_lodo_off,GCNConv,No description,0.7691004030780506,0.762753040450185,0.7691004030780506,0.762753040450185,0.0,0.7720349853033159,SUCCESS,64a2d9e7c93a42b1834c35af21efe3b5
trans_use_token_distance,GCNConv,No description,0.7690087944301942,0.7626662194826026,0.7690087944301942,0.7626662194826026,0.0,0.7721231259361954,SUCCESS,5c5d291ca51644968aaafb846abf048c
gcn_base,GCNConv,No description,0.7690087944301942,0.7626662194826026,0.7690087944301942,0.7626662194826026,0.0,0.7720375154555352,SUCCESS,2f7b9d4dabd94644a36adf2f4a7eff80
gcn_hid128,GCNConv,No description,0.7729021619640895,0.7620908901960275,0.8041407108831073,0.8033879667611126,0.0,0.7828627809479838,SUCCESS,9c10334ceec9465c9fef5a42f32551a7
gcn_4L,GCNConv,No description,0.7650696225723709,0.7613183240309332,0.7750091608647857,0.7688704044421526,0.0,0.7586318174695144,SUCCESS,dd0d4f57c86d4b3ea9b1932ecd8704bf
gcn_attn,GCNConv,No description,0.767955294979846,0.7587796146289667,0.7774367900329792,0.773993036300078,0.0,0.7747211203624706,SUCCESS,c972542f72794772a022af9c24432f17
gcn_dr025,GCNConv,No description,0.7611762550384756,0.7509303828920806,0.7645657750091609,0.7541388695968098,0.0,0.7708251130982412,SUCCESS,6697ca7d391948da860cd9b15ecb589b
gcn_lr1e4,GCNConv,No description,0.7515115426896299,0.7385051883941481,0.7515115426896299,0.7385051883941481,0.0,0.7449685923553756,SUCCESS,ca3f76962328422fae4abdbccda41a0e
