experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
Q4_hybrid_basic,Hybrid-ISG-GTN,Hybrid: Edge concat + ISG features,0.788933675338952,0.7827751976726507,0.7981861487724441,0.7963788801853348,0.0,0.7522267418412172,SUCCESS,167501555f88411e8698cb561bafa5be
Q3_isg_full,ISG-VanillaGTN,ISG-GTN: Full configuration,0.777390985709051,0.7714912165085293,0.7908574569439355,0.7892714823860907,0.0,0.7225251088443678,SUCCESS,61cb0e17ce1148bc9991c2a906c65fb2
Q1_vanilla_edge_concat,Vanilla-GTN-EdgeConcat,Vanilla GTN: Edge concatenation,0.7706119457676804,0.761900454595059,0.7847196775375596,0.7816321486345791,0.0,0.7389713210221482,SUCCESS,e71b0db0fc574ecfb92b69e3b91e0074
Q2_isg_basic,ISG-VanillaGTN,ISG-GTN: Core ISG features,0.7684133382191279,0.758496657346668,0.788933675338952,0.7872677306749198,0.0,0.7418601570939933,SUCCESS,e01a13e02e524085b43b8e34637e7506
Q5_baseline,Vanilla-GTN-NoEdge,Baseline: Vanilla GTN no edges,0.7661231220227189,0.7563055678159684,0.7886588493953829,0.7861557953537615,0.0,0.7482078081462278,SUCCESS,487a8ef8b6134349b039920dbde42b03
Q0_hybrid_full,Hybrid-ISG-GTN,Hybrid: Full configuration (BEST),0.7604433858556248,0.7493042056013002,0.7885672407475266,0.7851735765489662,0.0,0.7132776123686193,SUCCESS,3abe56a7f99f4c378da9755b1a005267
