experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
hybrid_4L,Hybrid-ISG-GTN,No description,0.7878801758886039,0.7811338199439117,0.8051484060095273,0.8023843504738073,0.0,0.745235624981242,SUCCESS,c02e9e8e1576438d9b33edbd997cf2fe
hybrid_hid500,Hybrid-ISG-GTN,No description,0.7817423964822279,0.7754770481004358,0.7817423964822279,0.7754770481004358,0.0,0.7001856792016157,SUCCESS,d330894fb5cb4d3bad294859a3434084
hybrid_lr1e4,Hybrid-ISG-GTN,No description,0.7834829607914987,0.7752398211147931,0.7954378893367534,0.788694905211976,0.0,0.6907681250203286,SUCCESS,17d9b5b70616442c816312dec4c03ecc
hybrid_dr025,Hybrid-ISG-GTN,No description,0.7762000732869183,0.7670890285859266,0.7936973250274826,0.7886372053594501,0.0,0.7506648508064556,SUCCESS,64217b08f10c453d86f02b0a82c350d4
hybrid_dr075,Hybrid-ISG-GTN,No description,0.7740930743862221,0.7657507794251802,0.786872480762184,0.7819415646782684,0.0,0.7469388499727315,SUCCESS,d08165754408458c9c95f03519b59747
trans_use_token_distance,Hybrid-ISG-GTN,No description,0.7740472700622939,0.7646388606321451,0.7886588493953829,0.7853437750525472,0.0,0.7469705575685024,SUCCESS,7942975debef4d79a200b5801e476050
hybrid_lodo_off,Hybrid-ISG-GTN,No description,0.7740472700622939,0.7646388606321451,0.7886588493953829,0.7853437750525472,0.0,0.7469705575685024,SUCCESS,6042ae3b63b74481a8769c9b53208084
hybrid_3H,Hybrid-ISG-GTN,No description,0.768459142543056,0.7568060898226907,0.7981861487724441,0.7964953440296891,0.0,0.7308458981212504,SUCCESS,40fb9573a699455bba561a3df18e4893
hybrid_bn,Hybrid-ISG-GTN,No description,0.7643825577134481,0.7512408011502341,0.7864144375229022,0.7800101905391474,0.0,0.7424279024808975,SUCCESS,674841d358d646e88d79c27f6634025a
hybrid_attn,Hybrid-ISG-GTN,No description,0.7588402345181385,0.7489323115099098,0.7742304873580066,0.7692196075707729,0.0,0.7127974735937517,SUCCESS,30922371667a40da86caaf81a782197b
hybrid_hid128,Hybrid-ISG-GTN,No description,0.7595272993770612,0.7463058368860875,0.8051942103334555,0.8036485778110756,0.0,0.7243821520439628,SUCCESS,bf7d6915ef6843919ccdb17f287286bb
hybrid_4H,Hybrid-ISG-GTN,No description,0.7551758886038842,0.7417664111044175,0.7805972883840234,0.7757308117104459,0.0,0.7284750036393508,SUCCESS,7544d9129bc245f4b27d089421ce6c9f
hybrid_1H,Hybrid-ISG-GTN,No description,0.7540765848296079,0.7392317133120201,0.7909032612678637,0.7888919249299584,0.0,0.7309471023041236,SUCCESS,fd90c68190354f1e87f0adcaf6719600
hybrid_dense128,Hybrid-ISG-GTN,No description,0.7539391718578233,0.7389222070457118,0.7900329791132283,0.786617759994412,0.0,0.7195648082460765,SUCCESS,ae5188b78e214c108a46cad2923a374f
hybrid_mp1,Hybrid-ISG-GTN,No description,0.7490839135214364,0.7324866364884628,0.7947966288017588,0.7896405554533947,0.0,0.7141867742189982,SUCCESS,8bb68c26e1f845859b8b5a964520cafb
hybrid_mp3,Hybrid-ISG-GTN,No description,0.7439080249175523,0.727120742313276,0.7715738365701722,0.7635363059587994,0.0,0.720515324408335,SUCCESS,b20a264118bb487bbbf843a800efe8f6
hybrid_no_tokdist,Hybrid-ISG-GTN,No description,0.7408849395382924,0.7216506753887322,0.7923231953096372,0.790270235123786,0.0,0.739825348586981,SUCCESS,042948be4e744f2bba362fb76921f70f
hybrid_base,Hybrid-ISG-GTN,No description,0.7334188347379993,0.7126759552872151,0.7942011725906926,0.7927910760873855,0.0,0.7312828005676058,SUCCESS,4f92069fce854474935c5628ec7afd85
hybrid_1L,Hybrid-ISG-GTN,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/autext23,
hybrid_1L,Hybrid-ISG-GTN,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/autext23,5946185fbd7044ea92eab5e19fd3df12
hybrid_3L,Hybrid-ISG-GTN,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/autext23,
hybrid_3L,Hybrid-ISG-GTN,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/autext23,316bf9bbf4c94c0f91abfd671d1bb491
