experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
gat_dr075,GATConv,No description,0.7978197141810187,0.7930806327224116,0.8005221692927812,0.7977959630756385,0.0,0.752165813383842,SUCCESS,281fcc865ee24fa4a298b8662d296b3f
gat_4H,GATConv,No description,0.7956669109563943,0.7898475098699116,0.8122022718944668,0.8102579820075171,0.0,0.7558799745774403,SUCCESS,08cc84eba18141bbaffb5935633bebeb
gat_4L,GATConv,No description,0.7917277390985709,0.7853438360971927,0.793788933675339,0.7911196118885072,0.0,0.7467652906751824,SUCCESS,9c9b8bac54734d068817f93259c1a54c
gat_3H,GATConv,No description,0.7904452180285819,0.7852959738746438,0.8010718211799194,0.7959852747221625,0.0,0.7531972327965664,SUCCESS,891ca15354c34107813bdef89e57dfb9
gat_mp1,GATConv,No description,0.7891168926346647,0.7839192926179863,0.7891168926346647,0.7839192926179863,0.0,0.7383383752320904,SUCCESS,55f3e120f38148759c5a80f5d48144e9
gat_3L,GATConv,No description,0.7876053499450348,0.7833577162494954,0.7876053499450348,0.7833577162494954,0.0,0.7377096883190982,SUCCESS,5155667e5934456db6cf31a6cedbfb81
gat_ln,GATConv,No description,0.7887962623671675,0.7831231473057434,0.7953920850128252,0.7917350766558229,0.0,0.7628895415239028,SUCCESS,d4ef8dff00dc41ce9864be36cf8d3c2b
gat_lr1e4,GATConv,No description,0.7877427629168193,0.7830227976442998,0.7877427629168193,0.7830227976442998,0.0,0.7454627569636985,SUCCESS,940dc0468c604ca69dfc4eb374d250d1
gat_hid500,GATConv,No description,0.7869182850861122,0.7808806042115193,0.7869182850861122,0.7808806042115193,0.0,0.7649694045579667,SUCCESS,304ef68cef1f4e29b227560fecc4c0e5
gat_dense128,GATConv,No description,0.7832081348479296,0.7785601236161315,0.7901703920850128,0.7833231976901613,0.0,0.7490095824899086,SUCCESS,4899ce0792e145aeb1a10f84efd172c5
gat_mp3,GATConv,No description,0.7799102235251008,0.7721662698804486,0.7886130450714548,0.7842547385442526,0.0,0.7529171136227477,SUCCESS,e6d3b8485ede4f73b666b8bf0de31b65
gat_base,GATConv,No description,0.7800018321729572,0.7712301270467621,0.7876053499450348,0.7811306785958173,0.0,0.7595001104457534,SUCCESS,0381da51982f4eb69784bda8608eb4f1
trans_use_token_distance,GATConv,No description,0.7798644192011726,0.7710915046140933,0.7876053499450348,0.7811093373616746,0.0,0.760360267418408,SUCCESS,e93fa566b06e4b84ab507b975d7c58af
gat_lodo_off,GATConv,No description,0.7794979846097472,0.7706676491617086,0.7869640894100403,0.7803047782939478,0.0,0.7601871075876028,SUCCESS,c4690faabd9d4a139a4d19c861d89423
gat_attn,GATConv,No description,0.7758336386954928,0.7678199255339626,0.7814217662147307,0.7770955176379932,0.0,0.7477122473187896,SUCCESS,546b80be944f491baa5a154d374f2f8d
gat_1L,GATConv,No description,0.7727647489923049,0.7634019932190423,0.7769787467936973,0.7711952948250969,0.0,0.7695217857663204,SUCCESS,f3fea434b4ea48e1901808aad51ced8d
gat_hid128,GATConv,No description,0.7731769879076584,0.7631034343276576,0.7943843898864053,0.7900214280075541,0.0,0.7672116735740369,SUCCESS,293902cc036d44d2ae8cb72bdfdf7615
gat_1H,GATConv,No description,0.7662605349945035,0.758738242674657,0.7770703554415537,0.7739451503689309,0.0,0.7505441424863707,SUCCESS,fdd44aa3464d4e35988a503d72af40d3
gat_dr025,GATConv,No description,0.7631916452913154,0.7529362712856904,0.7705661414437522,0.7634020262095496,0.0,0.7573948793053508,SUCCESS,68c57212c8a04c0486182b4bc5544e2f
