experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
gat_base,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,02094d6bd3a448d99a45bb7656a1a9a6
gat_base,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_hid128,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,496e811caafa49f99bcd55ca2c04e4ef
gat_hid128,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_hid500,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,2675311379104226b032485c8748a7ff
gat_hid500,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_dense128,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,63d908fb664640c1a1b1336ff5ac66a3
gat_dense128,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_1L,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,4fff740acaf748beb130616c184aa317
gat_1L,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_3L,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,553f3c42acc04f7980a0df1d916125ef
gat_3L,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_4L,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,960176b96c1045eaad026dd4ec9d6560
gat_4L,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_1H,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,11760aded9824860982372a63e6511d1
gat_1H,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_3H,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,3111a77e3a1149e481941855df497520
gat_3H,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
gat_4H,GATConv,No description,0.0,0.0,0.0,0.0,0.0,0.0,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,5747b580e6654b3b8167b99fd1e05785
gat_4H,GATConv,,0.0,0.0,0.0,0.0,,,FAILED: [Errno 2] No such file or directory: '/media/discoexterno/andric/data/experiments/isg_graph/isg_data,
