experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
hybrid_hid500,Hybrid-ISG-GTN,No description,0.7897388914338067,0.7887414455314992,0.7897388914338067,0.7887414455314992,0.0,0.751291193473604,SUCCESS,26a1bb14bd4140008dc252b434b09d2d
hybrid_bn,Hybrid-ISG-GTN,No description,0.7883646358222629,0.7857093684398399,0.7883646358222629,0.7857093684398399,0.0,0.7475411516231876,SUCCESS,3123725d496a470d8d52cc45184a9ee5
trans_use_token_distance,Hybrid-ISG-GTN,No description,0.7865322950068713,0.7848152836277547,0.7865322950068713,0.7848152836277547,0.0,0.7490678663843802,SUCCESS,cd3fb00402c54652b26578144a437109
hybrid_base,Hybrid-ISG-GTN,No description,0.7865322950068713,0.7848152836277547,0.7865322950068713,0.7848152836277547,0.0,0.7490678663843802,SUCCESS,c9239853df06474e93e596e67fd384ff
hybrid_lodo_off,Hybrid-ISG-GTN,No description,0.7865322950068713,0.7848152836277547,0.7865322950068713,0.7848152836277547,0.0,0.7490678663843802,SUCCESS,03cd74c0ce8b44578b8464870f1eab7f
hybrid_mp3,Hybrid-ISG-GTN,No description,0.7856161245991754,0.782210038030595,0.7947778286761338,0.7936272399618478,0.0,0.7522634423160696,SUCCESS,bc22bb1c84dd43cc931ad6513f910dbf
hybrid_dr025,Hybrid-ISG-GTN,No description,0.7842418689876317,0.7810885818033169,0.7851580393953276,0.7834831478495334,0.0,0.754110279271059,SUCCESS,f28c01663ccf47009c21cdb55975bc3b
hybrid_dense128,Hybrid-ISG-GTN,No description,0.7796610169491526,0.7782846150841286,0.7796610169491526,0.7782846150841286,0.0,0.7492359862242439,SUCCESS,72cc9db33ffd4497a93718d8fa303972
hybrid_hid128,Hybrid-ISG-GTN,No description,0.7801191021530005,0.7763606095530797,0.7801191021530005,0.7763606095530797,0.0,0.7492343791754064,SUCCESS,1008b0b1ca0d47998820df96194aefc5
hybrid_4H,Hybrid-ISG-GTN,No description,0.7778286761337608,0.7746317548158332,0.7796610169491526,0.7770104983281463,0.0,0.7480575650696393,SUCCESS,e0cda6fe78d34bb7a60f60a126505437
hybrid_3L,Hybrid-ISG-GTN,No description,0.777370590929913,0.7744359079899853,0.7801191021530005,0.777629130617844,0.0,0.744135213461613,SUCCESS,12f37c3b575146d7a66fe43f84a0c272
hybrid_lr1e4,Hybrid-ISG-GTN,No description,0.7792029317453046,0.7726360070598688,0.7938616582684379,0.7925526189202735,0.0,0.7233506194180352,SUCCESS,8d1215a615064b2fa069f1cf778f9d9b
hybrid_no_tokdist,Hybrid-ISG-GTN,No description,0.7737059092991296,0.7713626287142903,0.7746220797068255,0.7716511661133185,0.0,0.7586033061798888,SUCCESS,88929ead1dd340478241931a58cd3345
hybrid_mp1,Hybrid-ISG-GTN,No description,0.7727897388914338,0.7709997800450061,0.7727897388914338,0.7709997800450061,0.0,0.7600357572480163,SUCCESS,c8e215626f7c4990a762ded6710fc4f3
hybrid_1L,Hybrid-ISG-GTN,No description,0.7741639945029776,0.770549203236474,0.7805771873568483,0.7788665838377964,0.0,0.7519230881810571,SUCCESS,a9f23f6af4ff4f36ae14ad7b3ee8750e
hybrid_1H,Hybrid-ISG-GTN,No description,0.7737059092991296,0.7683808684326734,0.7764544205222171,0.7741759012395197,0.0,0.7535834738617201,SUCCESS,895513804a4242d68a064e7977f97053
hybrid_4L,Hybrid-ISG-GTN,No description,0.7704993128721942,0.767399725860461,0.7727897388914338,0.7700797567377031,0.0,0.744556194968,SUCCESS,0180696b601f4800890f0783eac43e72
hybrid_3H,Hybrid-ISG-GTN,No description,0.7682088868529546,0.7659809496368737,0.7682088868529546,0.7659809496368737,0.0,0.7461007895277509,SUCCESS,5c1e11ca85214c998b8f7705a5a67b69
hybrid_dr075,Hybrid-ISG-GTN,No description,0.7398076042143839,0.738622393483815,0.7398076042143839,0.738622393483815,0.0,0.6316440503696406,SUCCESS,10257ee113cb4b4fb449ca11b4b280ea
hybrid_attn,Hybrid-ISG-GTN,No description,0.7297297297297297,0.7275106417189232,0.7297297297297297,0.7275106417189232,0.0,0.6335468246748457,SUCCESS,224c4db9006747939f994e50ffae3b9e
