experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
hybrid_dr075,Hybrid-ISG-GTN,No description,0.796353975815317,0.7919056246775628,0.8057438622205936,0.8049971304057109,0.0,0.7579563048339928,SUCCESS,41d22a76a9e84b85a4ec1082372baa0a
hybrid_1L,Hybrid-ISG-GTN,No description,0.7942469769146208,0.7882166049105295,0.8038200806156102,0.801813077426613,0.0,0.7487594212906932,SUCCESS,1f79ee3c85a14bf19310e98741952914
hybrid_dense128,Hybrid-ISG-GTN,No description,0.7910406742396482,0.7835629642562081,0.8024917552216929,0.7982380164275531,0.0,0.7372843276319668,SUCCESS,e000fa45991743289942416194558407
hybrid_4H,Hybrid-ISG-GTN,No description,0.7824294613411507,0.7743626226033726,0.7936515207035544,0.7900382049277755,0.0,0.7483134473433775,SUCCESS,f37c38b9d1af40409ac97b6d36cb0072
hybrid_hid500,Hybrid-ISG-GTN,No description,0.7827500916086478,0.7736954204822266,0.8098204470502015,0.8075834349710271,0.0,0.7284950044208229,SUCCESS,d4c1f974df204e5b97d87227840f8650
hybrid_lr1e4,Hybrid-ISG-GTN,No description,0.7819714181018688,0.7733246949193617,0.8059270795163064,0.8021894662698053,0.0,0.7212766253591385,SUCCESS,5deb9b7aa8c34ce4be6dabb2f5dd567e
hybrid_mp3,Hybrid-ISG-GTN,No description,0.7803224624404543,0.771379242959088,0.8015298644192012,0.7991286228685657,0.0,0.7560220723424331,SUCCESS,4703720b1e9349b9b7bd02185980f007
hybrid_4L,Hybrid-ISG-GTN,No description,0.7795437889336754,0.7703817632327203,0.8099578600219861,0.8078343510942894,0.0,0.7314765480116456,SUCCESS,3da7a54888f64dee9884fa39390e8561
trans_use_token_distance,Hybrid-ISG-GTN,No description,0.7764290949065592,0.766706063837735,0.7982319530963723,0.7948257122425044,0.0,0.7336074881631991,SUCCESS,f4c412f975604f5cbbcdcde301007fce
hybrid_base,Hybrid-ISG-GTN,No description,0.7764290949065592,0.766706063837735,0.7982319530963723,0.7948257122425044,0.0,0.7336074881631991,SUCCESS,d7307f0e93cc4b6bb25b94240ea1a66b
hybrid_lodo_off,Hybrid-ISG-GTN,No description,0.7764290949065592,0.766706063837735,0.7982319530963723,0.7948257122425044,0.0,0.7336074881631991,SUCCESS,0ce4aa6290414411ae913bd3f19a8e41
hybrid_mp1,Hybrid-ISG-GTN,No description,0.7767039208501283,0.766429131736623,0.801209234151704,0.7967606082534067,0.0,0.747591434668083,SUCCESS,c9185ba42bdb482ca4976bfe486c1a2f
hybrid_3H,Hybrid-ISG-GTN,No description,0.7738640527665812,0.763543962234825,0.7887504580432393,0.7843735365293802,0.0,0.7298791821561338,SUCCESS,302302b0db5d47ca972cb8fbccb35b0b
hybrid_hid128,Hybrid-ISG-GTN,No description,0.7722609014290949,0.7613897935741862,0.8018962990106266,0.7990082899921983,0.0,0.7432963899909808,SUCCESS,544b6642600643ba9eb27e6b4c426d8b
hybrid_dr025,Hybrid-ISG-GTN,No description,0.7694210333455478,0.7582453534118464,0.7920941736899964,0.7908866728577887,0.0,0.7312766512259171,SUCCESS,19e026b504424041af6db89388447d85
hybrid_3L,Hybrid-ISG-GTN,No description,0.7693752290216196,0.7575322324407865,0.8071637962623671,0.804328547660502,0.0,0.7325781357822121,SUCCESS,2b492ab8a0e4467aa7067e8cfd184477
hybrid_1H,Hybrid-ISG-GTN,No description,0.7689171857823378,0.7569988897230919,0.7946134115060461,0.7922265083000655,0.0,0.7427019357231435,SUCCESS,a4c6a96501334c33a54242e7ed4d844f
hybrid_attn,Hybrid-ISG-GTN,No description,0.7666269695859289,0.7553512065626838,0.7975448882374496,0.7955784319323245,0.0,0.719006958722929,SUCCESS,38701fea460e491984cfe0dd5dcc78cb
hybrid_bn,Hybrid-ISG-GTN,No description,0.760764016123122,0.7468578215460593,0.8084921216562844,0.8062530186208599,0.0,0.7251701324127752,SUCCESS,0bf26708f6604b3db0e22b57613c3261
hybrid_no_tokdist,Hybrid-ISG-GTN,No description,0.7504580432392818,0.734080805935412,0.7947508244778307,0.793219113205857,0.0,0.728124649449432,SUCCESS,b0ee33052e7d4f7ab1a56a6475ae80ed
