experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
Q2_isg_basic,ISG-VanillaGTN,ISG-GTN: Core ISG features,0.7756794104099494,0.7740206833388726,0.776600644864118,0.774281452805389,0.0,0.6930954172489161,SUCCESS,f292ec694e344311bece11ae5cf16bcd
Q1_vanilla_edge_concat,Vanilla-GTN-EdgeConcat,Vanilla GTN: Edge concatenation,0.7692307692307693,0.7657136210456253,0.7789037309995394,0.7774908013815863,0.0,0.7085222770992798,SUCCESS,eee5a71d3ced43a0ad06482a99d4be63
Q4_hybrid_basic,Hybrid-ISG-GTN,Hybrid: Edge concat + ISG features,0.7581759557807461,0.7536583020032182,0.7683095347766007,0.7668460777550534,0.0,0.7117444862662146,SUCCESS,dd34e31d44544a60aef97d9edfb7d393
Q0_baseline,Vanilla-GTN-NoEdge,Baseline: Vanilla GTN no edges,0.7400921658986175,0.7394705113009359,0.7400921658986175,0.7394705113009359,0.0,0.6008598961623937,SUCCESS,a9c0e153a27a498cad8ce9a51ba65c51
Q5_hybrid_full,Hybrid-ISG-GTN,Hybrid: Full configuration (BEST),0.730999539382773,0.7222651574496124,0.751727314601566,0.7504053194809095,0.0,0.7123870206822341,SUCCESS,249a3b475541496a927f2764db147c81
Q3_isg_full,ISG-VanillaGTN,ISG-GTN: Full configuration,0.7240902809765085,0.7115885628918746,0.7438968217411331,0.7422706032172296,0.0,0.7051084441322093,SUCCESS,d1f90a99a76d4ea89dd3f6c18d4a7764
