experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
Q0_baseline,Vanilla-GTN-NoEdge,Baseline: Vanilla GTN no edges,0.7716869693613879,0.7649840892428891,0.7884828349944629,0.786865275707694,0.0,0.7244016246618359,SUCCESS,6c66b7b700424296aed2d338894a6826
Q1_vanilla_edge_concat,Vanilla-GTN-EdgeConcat,Vanilla GTN: Edge concatenation,0.7638914528336718,0.7543425202720323,0.7854901236846963,0.7834404682283452,0.0,0.7469384490658867,SUCCESS,85bf0181a2a3477a88c1d5b2e7088efc
Q2_isg_basic,ISG-VanillaGTN,ISG-GTN: Core ISG features,0.7446926342994278,0.7301874322493846,0.7843824995384899,0.782446567671963,0.0,0.7501133538469333,SUCCESS,98b0dc043c3a4d7bbaf48546468bc830
Q4_hybrid_basic,Hybrid-ISG-GTN,Hybrid: Edge concat + ISG features,0.7406313457633377,0.7256962423637723,0.7747830902713679,0.7726146061966317,0.0,0.7408950946416772,SUCCESS,40270ef419d0468db41a53fb45090d95
Q5_hybrid_full,Hybrid-ISG-GTN,Hybrid: Full configuration (BEST),0.7251246077164483,0.7065168409155302,0.7625992246630977,0.7594170555357552,0.0,0.7343114988500108,SUCCESS,f44984aaf8754bc7bcd297d35afee0e6
Q3_isg_full,ISG-VanillaGTN,ISG-GTN: Full configuration,0.724570795643345,0.7061292016272012,0.7716448218571165,0.7696507990942415,0.0,0.7300807557065379,SUCCESS,92bcb3c7729a440ab4ebd1f9d91b21ea
